                                   Expected
      From         To  Frequency  Frequency
========== ========== ========== ==========
  -5.00000   -4.50000          2          0
  -4.50000   -4.00000          3          0
  -4.00000   -3.50000          2          0
  -3.50000   -3.00000          4          1
  -3.00000   -2.50000          5          6
  -2.50000   -2.00000         25         20
  -2.00000   -1.50000         39         53
  -1.50000   -1.00000         88        111
  -1.00000   -0.50000        178        181
  -0.50000    0.00000        262        231
   0.00000    0.50000        246        231
   0.50000    1.00000        171        181
   1.00000    1.50000        105        111
   1.50000    2.00000         46         53
   2.00000    2.50000         16         20
   2.50000    3.00000          9          6
   3.00000    3.50000          2          1
   3.50000    4.00000          3          0
   4.00000    4.50000          1          0
   4.50000    5.00000          1          0

Data outside histogram range is put in first or last bucket.
